Ref.	Bª Sta Catalina	HOSPITAL	Allen	Fdez. Oro	Cipolletti	Neuquén
A	00:28	00:58	01:13	01:28	01:33	
A	01:30	02:00	02:15	02:30	02:35	
[---]
ALLEN	GUERRICO	J.J.GOMEZ	ROCA	Stefenelli	Cervantes	Mainque
05:50			06:20	06:35	06:55	
06:40			07:10	07:25	07:40	
			07:50	08:05	08:25	
			08:25	08:35	08:55	
			09:10	09:25	09:50	
			09:55	10:05	10:25	
			10:40	10:50	11:10	
			11:20	11:30	11:50	
			12:05	12:15	12:35	
			12:35	12:45	13:05	
			13:25	13:25	13:45	
			14:45	15:00	15:20	
			16:10	16:25	16:45	
			16:55	17:10	17:30	
			18:00	18:15	18:35	18:45
			18:35	18:50	19:10	
			19:20	19:35	19:55	
			20:00	20:15	20:35	
			20:40	20:55	21:15	
[---]
Cervantes	Stefenelli	ROCA	GOMEZ	GUERRICO	ALLEN
06:25	06:45	06:55			
07:10	07:30	07:45			
07:50	08:10	08:25			
08:30	08:50	09:05			
09:10	09:30	09:45			
10:00	10:20	10:35			
10:40	11:00	11:15			
11:20	11:40	11:55			
12:05	12:20	12:35			
13:05	13:25	13:40			
13:50	14:10	14:25			
15:20	15:40	15:55			
16:30	16:45	16:55			
17:10	17:30	17:45			
17:45	18:05	18:20			
19:10	19:30	19:45			
19:55	20:15	20:30			
20:40	21:00	21:15			
21:20	21:40	21:55	22:10	22:20	22:20
[---]
ETON	Neuquen	Cipolletti	Fdez.Oro	Allen	Guerrico	Gomez	G.Roca	Stefenelli	Cervantes	Mainque	Huergo	Godoy	V.Regina
				04:25	04:35	04:45	05:05	05:20	05:40	05:55	06:10	06:25	06:35
				05:05	05:15	05:25	05:40	05:50	06:05	06:20	06:30	06:45	07:00
				05:45	06:00	06:10	06:25	06:40	07:00	07:15	07:30	07:45	07:55
05:15	05:25	05:55	06:05	06:20	06:30	06:40	07:10	07:25	07:45	08:00	08:15	08:30	08:40
05:55	06:10	06:40	06:55	07:10	07:25	07:35	07:55	08:10	08:30	08:45	09:00	09:15	09:25
06:40	06:55	07:25	07:40	07:55	08:10	08:20	08:35	08:50	09:10	09:25	09:40	09:55	10:05
07:15	07:30	08:00	08:15	08:30	08:45	08:55	09:15	09:30	09:50	10:05	10:20	10:35	10:45
08:00	08:15	08:45	09:00	09:15	09:30	09:40	10:00	10:15	10:35	10:50	11:05	11:20	11:30
08:35	08:50	09:20	09:35	09:50	10:05	10:15	10:45	11:00	11:20	11:35	11:50	12:05	12:15
	08:50	09:20	09:35	09:50									
09:20	09:35	10:05	10:20	10:35	10:50	11:00	11:20	11:30	11:50	12:05	12:20	12:35	12:45
10:00	10:15	10:45	11:00	11:15	11:30	11:45	12:10	12:25	12:45	13:00	13:15	13:30	13:40
10:40	10:55	11:25	11:40	11:55	12:10	12:20	12:40	12:55	13:15	13:30	13:45	14:00	14:10
11:20	11:35	12:05	12:20	12:35	12:50	13:00	13:25	13:40	14:00	14:15	14:30	14:45	14:55
