Allen	Isla 10	Fdez. Oro	Puente 83	Cipolletti
12:00	12:15	12:25	12:30	12:50
	13:45	13:55	14:00	14:30
	15:10	15:20	15:25	15:50
	16:35	16:45	16:50	17:20
	18:00	18:15	18:20	18:40
[---]
Cipolletti	Puente 83	Fdez. Oro	Isla 10	Allen
12:50	13:05	13:10	13:20	
14:30	14:45	14:50	15:00	
15:50	16:05	16:10	16:20	
17:20	17:35	17:40	17:50	
18:40	18:55	19:00	19:10	19:30
